CLAVE DE LA NORMA,TITULO,F. PUBLICACIÓN,TIPO NORMA,PRODUCTO,RAE,CTNN,ONN,DOCUMENTO
NMX-AA-015-1985,"""PROTECCIÓN AL AMBIENTE-CONTAMINACIÓN DEL SUELO-RESIDUOS SÓLIDOS MUNICIPALES-MUESTREO-MÉTODO DE CUARTEO"" (ESTA NORMA CANCELA LA NOM-AA-15-1975 )",1985-03-18T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1985/nmx-aa-015-1985.pdf
NMX-AA-016-1984,"""PROTECCIÓN AL AMBIENTE CONTAMINACIÓN DEL SUELO RESIDUOS SÓLIDOS MUNICIPALES-DETERMINACIÓN DE HUMEDAD"" (ESTA NORMA CANCELA LA NOM-AA-16-1975)",1984-12-14T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1984/nmx-aa-016-1984.pdf
NMX-AA-017-1980,"""AGUAS.-DETERMINACIÓN DE COLOR"" (CANCELA LA NOM-AA-17-1975)                                                                                                                                                                                                                       ",1980-07-11T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1980/nmx-aa-017-1980.pdf
NMX-AA-018-1984,"""PROTECCIÓN AL AMBIENTE-CONTAMINACIÓN DEL SUELO-RESIDUOS SÓLIDOS MUNICIPALES - DETERMINACIÓN DE CENIZAS"" (ESTA NORMA CANCELA LA NOM-AA-18-1975)",1984-12-14T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1984/nmx-aa-018-1984.pdf
NMX-AA-019-1985,"""PROTECCIÓN AL AMBIENTE-CONTAMINACIÓN DEL SUELO-RESIDUOS SÓLIDOS MUNICIPALES-PESO VOLUMÉTRICO 'IN SITU' "" (ESTA NORMA CANCELA LA NOM-AA-19-1975)",1985-03-18T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1985/nmx-aa-019-1985.pdf
NMX-AA-020-SCFI-2008,"RESIDUOS.- DETERMINACION DE COMPUESTOS ORGANICOS SEMIVOLATILES EN PRODUCTO DE EXTRACCION DE CONSTITUYENTES TOXICOS (PECT).
",2008-06-18T00:00:00Z,DEFINITIVA,PROTECCIÓN AMBIENTAL,PROTECCION AMBIENTAL,CTNN DE MEDIO AMBIENTE Y RECURSOS NATURALES,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2008/nmx-aa-020-scfi-2008.pdf
NMX-AA-021-1985,"""PROTECCIÓN AL AMBIENTE - CONTAMINACIÓN DEL SUELO - RESIDUOS SÓLIDOS MUNICIPALES - DETERMINACIÓN DE MATERIA ORGÁNICA"". (ESTA NORMA CANCELA LA NOM AA 21-1975) .",1985-08-08T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1985/nmx-aa-021-1985.pdf
NMX-AA-022-1985,"""PROTECCIÓN AL AMBIENTE-CONTAMINACIÓN DEL SUELO-RESIDUOS SÓLIDOS MUNICIPALES-SELECCIÓN Y CUANTIFICACIÓN DE SUBPRO•
DUCTOS"" (ESTA NORMA CANCELA LA NOM-AA-22-1975)",1985-03-18T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1985/nmx-aa-022-1985.pdf
NMX-AA-023-1986,"""PROTECCIÓN AL AMBIENTE - CONTAMINACIÓN ATMOSFÉRICA TERMINOLOGÍA"" (ESTA NORMA CANCELA A LA NOM-AA-23-1975)",1986-07-15T00:00:00Z,DEFINITIVA,CONTAMINACION ATMOSFERICA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1986/nmx-aa-023-1986.pdf
NMX-AA-024-1984,"""PROTECCIÓN AL AMBIENTE CONTAMINACIÓN DEL SUELO RESIDUOS SÓLIDOS MUNICIPALES-DETERMINACIÓN DE NITRÓGENO TOTAL"" (ESTA
NORMA CANCELA LA NOM AA-24-1975)",1984-12-14T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1984/nmx-aa-024-1984.pdf
NMX-AA-025-1984,"""PROTECCIÓN AL AMBIENTE CONTAMINACIÓN DEL SUELO RESIDUOS SÓLIDOS-DETERMINACIÓN DEL PH-MÉTODO POTENCIOMÉTRICO"" ESTA NORMA CANCELA LA NOM AA-25-1975 )",1984-12-14T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1984/nmx-aa-025-1984.pdf
NMX-AA-026-SCFI-2010,"ANALISIS DE AGUA-MEDICION DE NITROGENO TOTAL KJELDAHL EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA-(CANCELA A LA NMX-AA-026-SCFI-2001).
",2011-03-03T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE MEDIO AMBIENTE Y RECURSOS NATURALES,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2010/nmx-aa-026-scfi10.pdf
NMX-AA-027-SCFI-2006,RESIDUOS LIQUIDOS-DETERMINACION DE PH-METODO DE PRUEBA,2012-12-06T00:00:00Z,DEFINITIVA,PROTECCIÓN AMBIENTAL,PROTECCION AMBIENTAL,CTNN DE MEDIO AMBIENTE Y RECURSOS NATURALES,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2010/nmx-aa-027-scfi-2006.pdf
NMX-AA-028-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE LA DEMANDA BIOQUIMICA DE OXIGENO EN AGUAS NATURALES, RESIDUALES (DBO5) Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-028-1981).",2001-04-17T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-028-scfi-2001.pdf
NMX-AA-029-SCFI-2001,"ANALISIS DE AGUAS-DETERMINACION DE FOSFORO TOTAL EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-029-1981).",2001-04-17T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-029-scfi-2001.pdf
NMX-AA-030/1-SCFI-2012,"
ANÁLISIS DE AGUA - MEDICIÓN DE LA DEMANDA QUÍMICA DE OXÍGENO EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS.- MÉTODO DE PRUEBA - PARTE 1 - MÉTODO DE REFLUJO ABIERTO - (CANCELA A LA NMX-AA-030-SCFI-2001).
",2013-05-21T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE MEDIO AMBIENTE Y RECURSOS NATURALES,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2010/nmx-aa-030-1-scfi-2012.pdf
NMX-AA-030/2-SCFI-2011,"ANÁLISIS DE AGUA-DETERMINACIÓN DE LA DEMANDA QUÍMICA DE OXÍGENO EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-MÉTODO DE PRUEBA-PARTE 2-DETERMINACIÓN DEL ÍNDICE DE LA DEMANDA QUÍMICA DE OXÍGENO-MÉTODO DE TUBO SELLADO A PEQUEÑA ESCALA.",2013-06-27T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE MEDIO AMBIENTE Y RECURSOS NATURALES,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2010/nmx-aa-030-2-scfi-2012.pdf
NMX-AA-031-1976,"
""DETERMINACIÓN DE AZUFRE EN DESECHOS SÓLIDOS"" DGN-AA-31-1976.                                                                                                                                                                                                                   ",1976-08-02T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1976/nmx-aa-031-1976.pdf
NMX-AA-032-1976,"""DETERMINACIÓN DE FÓSFORO TOTAL EN DESECHOS SÓLIDOS. (MÉTODO DEL FOSFOVANADO-MOLIBDATO).
DGN·AA·32-1916. ",1976-05-28T00:00:00Z,DEFINITIVA,FOSFORO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1976/nmx-aa-032-1976.pdf
NMX-AA-033-1985,"""PROTECCIÓN AL AMBIENTE - CONTAMINACIÓN DEL SUELO -RESIDUOS SÓLIDOS MUNICIPALES - DETERMINACIÓN DE PODER CALORÍFICO SUPERIOR"". (ESTA NORMA CANCELA LA NOM-AA-33-1976) .",1985-08-08T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1985/nmx-aa-033-1985.pdf
NMX-AA-034-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE SOLIDOS Y SALES DISUELTAS EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LAS NMX-AA-020-1980 Y NMX-AA-034-1981).",2001-08-01T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-034-scfi-2001.pdf
NMX-AA-035-1976,"""DETERMINACIÓN DE BIÓXIDO DE CARBONO, MONÓXIDO DE CARBONO Y OXÍGENO EN LOS GASES DE COMBUSTIÓN"". DGN-AA-35-1976. ",1976-06-10T00:00:00Z,DEFINITIVA,PROTECCIÓN AMBIENTAL,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1976/nmx-aa-035-1976.pdf
NMX-AA-036-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE ACIDEZ Y ALCALINIDAD EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-036-1980).",2001-08-01T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-036-scfi-2001.pdf
NMX-AA-037-SCFI-2006,RESIDUOS LIQUIDOS-DETERMINACION DE INFLAMABILIDAD EN COPA CERRADA-METODO DE PRUEBA,2012-12-06T00:00:00Z,DEFINITIVA,PROTECCIÓN AMBIENTAL,PROTECCION AMBIENTAL,CTNN DE MEDIO AMBIENTE Y RECURSOS NATURALES,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2010/nmx-aa-037-scfi-2006.pdf
NMX-AA-038-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE TURBIEDAD EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-038-1981).",2001-08-01T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-038-scfi-2001.pdf
NMX-AA-039-SCFI-2001,"ANALISIS DE AGUAS-DETERMINACION DE SUSTANCIAS ACTIVAS AL AZUL DE METILENO (SAAM) EN AGUAS NATURALES, POTABLES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-039-1980).",2001-08-01T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-039-scfi-2001.pdf
NMX-AA-040-1976,"""CLASIFICACIÓN DE RUIDOS"". DGN-AA-40-1976.",1976-11-08T00:00:00Z,DEFINITIVA,CONTAMINACION POR RUIDO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1976/nmx-aa-040-1976.pdf
NMX-AA-041-SCFI-2006,RESIDUOS SOLIDOS-DETERMINACION DE INFLAMABILIDAD-METODO DE PRUEBA,2012-12-06T00:00:00Z,DEFINITIVA,PROTECCIÓN AMBIENTAL,PROTECCION AMBIENTAL,CTNN DE MEDIO AMBIENTE Y RECURSOS NATURALES,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2010/nmx-aa-041-scfi-2006.pdf
NMX-AA-042-1987,"CALIDAD DEL AGUA-DETERMINACIÓN DEL NÚMERO MÁS PROBABLE (NMP) DE COLIFORMES TOTALES, COLIFORMES FECALES (TERMOTOLERANTES) Y ESCHERICHIA COLI PRESUNTIVA. (ESTA NORMA CANCELA A LA NOM-AA-42-1981 ).",1987-06-22T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1987/nmx-aa-42-1987.pdf
NMX-AA-043-SCFI-2006,RESIDUOS-DETERMINACION DE REACTIVIDAD-METODO DE PRUEBA,2012-12-06T00:00:00Z,DEFINITIVA,PROTECCIÓN AMBIENTAL,PROTECCION AMBIENTAL,CTNN DE MEDIO AMBIENTE Y RECURSOS NATURALES,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2010/nmx-aa-043-scfi-2006.pdf
NMX-AA-044-SCFI-2001,"ANALISIS DE AGUAS-DETERMINACION DE CROMO HEXAVALENTE EN AGUAS NATURALES, POTABLES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-044-1981).",2001-08-01T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-044-scfi-2001.pdf
NMX-AA-045-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE COLOR PLATINO COBALTO EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-045-1981).",2001-08-01T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-045-scfi-2001.pdf
NMX-AA-046-1981,ANÁLISIS DE AGUA.-DETERMINACIÓN DE ARSÉNICO.(MÉTODO ESPECTROFOTOMÉTRICO). (ESTA NORMA CANCELA A LA NOM-AA-46-1978).                                                                                                                                 ,1982-04-21T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1981/nmx-aa-046-1981.pdf
NMX-AA-047-1977,"""SONÓMETROS PARA USO GENERAL""                                                                                                                                                                                                                           ",1978-02-03T00:00:00Z,DEFINITIVA,CONTAMINACION POR RUIDO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1977/nmx-aa-047-1977.pdf
NMX-AA-048-SCFI-2006,RESIDUOS-DETERMINACION DE METALES POR ESPECTROFOTOMETRIA DE ABSORCION ATOMICA EN PRODUCTOS DE EXTRACCION DE CONSTITUYENTES TOXICOS (PECT)-METODO DE PRUEBA,2012-12-06T00:00:00Z,DEFINITIVA,PROTECCIÓN AMBIENTAL,PROTECCION AMBIENTAL,CTNN DE MEDIO AMBIENTE Y RECURSOS NATURALES,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2010/nmx-aa-048-scfi-2006.pdf
NMX-AA-049-1977,"""PURIFICADORES DE AIRE ELECTROSTÁTICOS"".                                                                                                                                                                                                      ",1977-09-15T00:00:00Z,DEFINITIVA,PURIFICADORES,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1977/nmx-aa-049-1977.pdf
NMX-AA-050-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE FENOLES TOTALES EN AGUAS NATURALES, POTABLES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-050-1981).",2001-08-01T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-050-scfi-2001.pdf
NMX-AA-051-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE METALES POR ABSORCION ATOMICA EN AGUAS NATURALES, POTABLES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-051-1981).",2001-08-13T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-051-scfi-2001.pdf
NMX-AA-052-1985,"""PROTECCIÓN AL AMBIENTE-CONTAMINACIÓN DEL SUELO-RESIDUOS SÓLIDOS MUNICIPALES-PREPARACIÓN DE MUESTRAS EN EL LABORATORIO PARA SU ANÁLISIS""",1985-03-18T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1985/nmx-aa-052-1985.pdf
NMX-AA-053-1981,"""ANÁLISIS DE AGUAS - DETERMINACIÓN DE MATERIA EXTRACTABLE CON CLOROFORMO"".",1981-07-10T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1981/nmx-aa-053-1981.pdf
NMX-AA-054-1978,"""CONTAMINACIÓN ATMOSFÉRICA.-DETERMINACIÓN DEL CONTENIDO DE HUMEDAD EN LOS GASES QUE FLUYEN POR UN CONDUCTO.-MÉTODO GRAVIMÉTRICO"". NOM-AA-54-1978.",1978-08-02T00:00:00Z,DEFINITIVA,CONTAMINACION ATMOSFERICA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1978/nmx-aa-054-1978.pdf
NMX-AA-055-1979,CONTAMINACIÓN ATMOSFÉRICA-FUENTES FIJAS-DETERMINACIÓN DE BIÓXIDO DE AZUFRE EN GASES QUE FLUYEN POR UN CONDDUCTO.,1979-09-06T00:00:00Z,DEFINITIVA,,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1979/nmx-aa-055-1979.pdf
NMX-AA-056-1980,"CONTAMINACLÓN ATMOSFÉRICA.-FUENTES FI JAS.-DETERMINACIÓN DE BIÓXIDO DE AZUFRE, TRIÓXIDO DE AZUFRE V NEBLINAS DE ACIDO SULFÚRICO EN LOS GASES QUE FLUVEN POR UN CONDUCTO.",1980-06-17T00:00:00Z,DEFINITIVA,GASES,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1980/nmx-aa-056-1980.pdf
NMX-AA-058-SCFI-2001,"ANALISIS DE AGUAS-DETERMINACION DE CIANUROS TOTALES EN AGUAS NATURALES, POTABLES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-058-1982).",2001-08-13T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-058-scfi-2001.pdf
NMX-AA-059-1978,"""ACUSTICA - SONÓMETROS DE PRECISIÓN""",1979-01-05T00:00:00Z,DEFINITIVA,CONTAMINACION POR RUIDO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1978/nmx-aa-059-1978.pdf
NMX-AA-061-1985,"""PROTECCIÓN AL AMBIENTE - CONTAMINACIÓN DEL SUELO - RESIDUOS SÓLIDOS MUNICIPALES - DETERMINACIÓN DE LA GENERACIÓN"".",1985-08-08T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1985/nmx-aa-061-1985.pdf
NMX-AA-062-1979,ACÚSTICA - DETERMINACIÓN DE LOS NIVELES DE RUIDO AMBIENTAL                                                                                                                                                                                              ,1979-08-02T00:00:00Z,DEFINITIVA,CONTAMINACION POR RUIDO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1979/nmx-aa-062-1979.pdf
NMX-AA-063-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE BORO EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-063-1981).",2001-08-13T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-063-scfi-2001.pdf
NMX-AA-067-1985,"""PROTECCIÓN AL AMBIENTE - CONTAMINACIÓN DEL SUELO - RESIDUOS SÓLIDOS MUNICIPALES - DETERMINACIÓN DE LA RELACIÓN CARBONO/NITRÓGENO"".",1985-08-08T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1985/nmx-aa-067-1985.pdf
NMX-AA-068-1986,"""PROTECCIÓN AL AMBIENTE-CONTAMINACIÓN DEL SUELO-RESIDUOS SÓLIDOS MUNICIPALES-DETERMINACIÓN DE HIDRÓGENO A PARTIR DE MATERIA ORGÁNICA""",1986-04-14T00:00:00Z,DEFINITIVA,CONTAMINACION DEL SUELO,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1986/nmx-aa-068-1986.pdf
NMX-AA-069-1980,"""CONTAMINACION ATMOSFERICA- FUENTES FIJAS- DETERMINACION DE ACIDO  SULFHIDRICO EN GASES QUE FLUYEN POR UN CONDUCTO""",1980-08-28T00:00:00Z,DEFINITIVA,CONTAMINACION ATMOSFERICA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1980/nmx-aa-069-1980.pdf
NMX-AA-070-1980,CONTAMINACIÓN ATMOSFÉRICA - FUENTES FIJAS. DETERMINACIÓN DE CLORO Y/O CLORUROS EN LOS GASES QUE FLUYEN POR UN CONDUCTO.,1980-09-08T00:00:00Z,DEFINITIVA,CONTAMINACION ATMOSFERICA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1980/nmx-aa-070-1980.pdf
NMX-AA-071-1981,"ANÁLISIS DE AGUA - DETERMINACIÓN DE PLAGUICIDAS ORGANOCLORADOS - MÉTODO DE CROMATOGRAFÍA DE GASES, ASÍ COMO EL AVISO DE LA DECLARATORIA DE VIGENCIA.",1981-02-17T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1981/nmx-aa-071-1981.pdf
NMX-AA-072-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE DUREZA TOTAL EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-072-1981).",2001-08-13T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-072-scfi-2001.pdf
NMX-AA-073-SCFI-2001,"ANALISIS DE AGUA-DETERMINACION DE CLORUROS TOTALES EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS-METODO DE PRUEBA (CANCELA A LA NMX-AA-073-1981).",2001-08-13T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-073-scfii-2001.pdf
NMX-AA-074-1981," ""ANÁLISIS DE AGUA- DETERMINACIÓN DEL ION SULFATO.""",1981-12-10T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1981/nmx-aa-074-1981.pdf
NMX-AA-075-1982,"""ANÁLISIS DE AGUA-DETERMINACIÓN DE SÍLICE""",1982-03-17T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1982/nmx-aa-075-1982.pdf
NMX-AA-077-SCFI-2001,"ANALISIS DE AGUAS-DETERMINACION DE FLUORUROS EN AGUAS NATURALES, RESIDUALES Y RESIDUALES TRATADAS (CANCELA A LA NMX-AA-077-1982).",2001-08-13T00:00:00Z,DEFINITIVA,AGUA,PROTECCION AMBIENTAL,CTNN DE PROTECCIÓN AL AMBIENTE.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/2001/nmx-aa-077-scfi-2001.pdf
